Driver,Round,Avg_Speed,Max_Speed,Avg_Throttle,Brake_Pct,Avg_RPM,Brake_Zones,Brake_Time_Pct,Mean_Entry_Speed,Mean_Apex_Speed,Mean_Exit_Speed,Mean_Brake_Duration,Std_Brake_Duration,Mean_Peak_Decel,Max_Peak_Decel,Sector1_Ratio,Sector2_Ratio,Sector3_Ratio,Speed_Pct_10,Speed_Pct_20,Speed_Pct_30,Speed_Pct_40,Speed_Pct_50,Speed_Pct_60,Speed_Pct_70,Speed_Pct_80,Speed_Pct_90,Brake_First_Third,Brake_Mid_Third,Brake_Last_Third
LEC,9,234.0114503816794,327.0,78.62213740458016,14.50381679389313,10822.709923664122,6.0,16.76740947075209,273.5,138.16666666666666,138.16666666666666,2.0065,0.3159080826231994,-15.0,-15.0,1.0093607413330823,1.0052134359692093,1.0121771217712177,325.25,215.21428571428572,274.7391304347826,210.25806451612902,192.59375,224.92,260.4166666666667,165.25714285714287,263.48,8.0,17.894736842105264,16.666666666666664
NOR,9,232.75735294117646,327.0,74.99632352941177,13.23529411764706,10784.742647058823,7.0,18.364804524012822,246.57142857142858,141.71428571428572,141.71428571428572,1.874285714285714,0.7370537321536546,-13.990929705215413,-15.0,1.4523731125640906,1.3744226731980407,,324.0,222.23333333333332,272.17391304347825,189.97058823529412,193.52941176470588,247.8846153846154,261.0869565217391,163.7948717948718,264.27272727272725,7.894736842105263,15.686274509803921,15.053763440860216
OCO,9,227.76556776556777,327.0,77.2014652014652,17.216117216117215,10684.307692307691,8.0,19.627192982456165,270.5,166.625,166.625,1.790000000000002,0.8269585842108405,-11.823536706349191,-15.0,1.0198033773931041,1.0238278516445067,1.0267527675276753,324.94117647058823,212.39285714285714,272.60869565217394,180.0810810810811,203.3,246.92,222.96153846153845,167.375,259.39130434782606,7.894736842105263,25.0,16.666666666666664
PIA,9,233.09963099630997,328.0,74.16974169741698,14.760147601476014,10796.040590405904,6.0,18.64656588200614,263.8333333333333,143.0,143.0,2.213999999999999,0.5351180555104944,-15.0,-15.0,1.3081048026718096,1.2832050384884535,,325.1764705882353,222.61290322580646,269.08,190.02857142857144,197.4516129032258,246.35714285714286,235.95833333333334,174.8108108108108,268.8695652173913,7.792207792207792,18.446601941747574,16.666666666666664
RUS,9,229.72932330827066,329.0,76.93233082706767,15.037593984962406,10863.755639097744,6.0,18.73855231330657,267.6666666666667,139.0,139.0,2.2336666666666654,0.42147426440478697,-15.0,-15.0,1.0055035514370385,1.0048635409377187,1.0033671586715867,327.1764705882353,217.46666666666667,275.2173913043478,196.70967741935485,190.5,233.14814814814815,252.41666666666666,157.48717948717947,253.8181818181818,9.210526315789473,19.791666666666664,15.053763440860216
SAI,9,228.53649635036496,329.0,76.5036496350365,15.328467153284672,10568.087591240876,7.0,20.09610104338277,272.2857142857143,152.57142857142858,152.57142857142858,2.091142857142859,0.7580517186599228,-13.649140211640225,-15.0,1.0146761371654358,1.0276417074877537,1.0268450184501845,310.85714285714283,210.33333333333334,269.52,181.91176470588235,191.3,241.09677419354838,231.28571428571428,160.35135135135135,260.40909090909093,7.317073170731707,20.588235294117645,16.853932584269664
STR,9,227.06884057971016,329.0,75.05434782608695,12.681159420289855,10712.695652173914,7.0,18.84159779614324,248.71428571428572,141.85714285714286,141.85714285714286,1.9541428571428558,0.8955000883100259,-14.09722222222222,-15.0,1.0162284209040877,1.0251574527641707,1.0209870848708489,324.7647058823529,205.68965517241378,270.7916666666667,192.5142857142857,190.8125,236.7037037037037,259.09090909090907,155.14634146341464,254.07407407407408,9.090909090909092,15.686274509803921,12.5
TSU,9,226.078853046595,324.0,75.72759856630825,12.544802867383511,10644.182795698925,8.0,17.302128820960696,246.375,154.5,154.5,1.5848749999999998,0.8166710533470627,-13.138020833333375,-15.0,1.0256362011383413,1.0279566130160953,1.024077490774908,315.85714285714283,209.6206896551724,260.0,179.48648648648648,190.5483870967742,237.88,254.0,157.225,259.6923076923077,5.194805194805195,16.666666666666664,14.14141414141414
VER,9,231.5814814814815,327.0,76.16296296296296,15.555555555555555,10675.903703703703,7.0,18.064624376057374,247.28571428571428,135.0,135.0,1.845714285714285,0.6920131531131708,-14.097222222222253,-15.0,1.0096429747401099,1.004338698390483,1.0,320.40909090909093,212.89285714285714,270.0,185.94117647058823,194.67741935483872,240.76190476190476,268.3478260869565,156.25641025641025,260.3333333333333,10.38961038961039,21.052631578947366,14.583333333333334
ALB,10,216.55384615384617,334.0,69.43846153846154,21.53846153846154,10274.765384615384,6.0,21.986913879936946,279.8333333333333,109.33333333333333,109.33333333333333,2.6266666666666674,0.8147696334274822,-15.0,-15.0,,,,158.33333333333334,219.7391304347826,186.54285714285714,271.2857142857143,216.72727272727272,164.08333333333334,277.42105263157896,326.375,205.72413793103448,28.71287128712871,21.839080459770116,11.267605633802818
